;Part of: 1 ÷ 20 ìêë 350;;Part of: 1 ÷ 20 ìêë 400;;Part of: 1 ÷ 20 ìêë 300 smoothed;
Time;12:45:48;12:48:45;;12:43:38;;
Wavelength [nm];Intensity;Wavelength [nm];intensity;Wavelength [nm];intensity;
427,500;0,96634;475,500;0,99723;377,500;0,8036;
428,000;0,97011;476,000;0,99809;378,000;0,81078;
428,500;0,97424;476,500;0,99908;378,500;0,81759;
429,000;0,97812;477,000;0,99988;379,000;0,82371;
429,500;0,98118;477,500;1;379,500;0,82906;
430,000;0,98342;478,000;0,9991;380,000;0,83384;
430,500;0,98535;478,500;0,99717;380,500;0,83844;
431,000;0,98757;479,000;0,99459;381,000;0,84317;
431,500;0,99031;479,500;0,9921;381,500;0,84825;
432,000;0,99328;480,000;0,99034;382,000;0,85373;
432,500;0,99578;480,500;0,98948;382,500;0,85947;
433,000;0,99726;481,000;0,98921;383,000;0,8652;
433,500;0,99785;481,500;0,98911;383,500;0,87061;
434,000;0,99816;482,000;0,98897;384,000;0,87559;
434,500;0,99867;482,500;0,98882;384,500;0,88034;
435,000;0,99936;483,000;0,98852;385,000;0,88525;
435,500;0,9999;483,500;0,98767;385,500;0,89062;
436,000;1;484,000;0,98605;386,000;0,89639;
436,500;0,99972;484,500;0,98388;386,500;0,90225;
437,000;0,99936;485,000;0,98176;387,000;0,9079;
437,500;0,99923;485,500;0,97998;387,500;0,91313;
438,000;0,99936;486,000;0,97828;388,000;0,91774;
438,500;0,99948;486,500;0,97619;388,500;0,9215;
439,000;0,99918;487,000;0,97346;389,000;0,92447;
439,500;0,99826;487,500;0,97025;389,500;0,92701;
440,000;0,99704;488,000;0,96681;390,000;0,92952;
440,500;0,99611;488,500;0,96325;390,500;0,93213;
441,000;0,9958;489,000;0,95957;391,000;0,93464;
441,500;0,99575;489,500;0,95589;391,500;0,93681;
442,000;0,99513;490,000;0,95224;392,000;0,9386;
442,500;0,99339;490,500;0,94846;392,500;0,94009;
443,000;0,9906;491,000;0,94438;393,000;0,94141;
443,500;0,9873;491,500;0,94011;393,500;0,94275;
444,000;0,98417;492,000;0,93599;394,000;0,94438;
444,500;0,98165;492,500;0,9324;394,500;0,94666;
445,000;0,97977;493,000;0,92954;395,000;0,94982;
445,500;0,97816;493,500;0,92722;395,500;0,95384;
446,000;0,97638;494,000;0,92474;396,000;0,95846;
446,500;0,97414;494,500;0,9213;396,500;0,96331;
447,000;0,9714;495,000;0,91674;397,000;0,968;
447,500;0,96836;495,500;0,91167;397,500;0,97219;
448,000;0,9652;496,000;0,90679;398,000;0,97563;
448,500;0,96207;496,500;0,90226;398,500;0,97825;
449,000;0,95898;497,000;0,89783;399,000;0,98028;
449,500;0,9559;497,500;0,89335;399,500;0,98207;
450,000;0,95286;498,000;0,88892;400,000;0,9837;
450,500;0,9501;498,500;0,8848;400,500;0,98486;
451,000;0,94777;499,000;0,88109;401,000;0,98513;
