;Part of: 1 ÷ 20 ìêë 350;;Part of: 1 ÷ 20 ìêë 400;;Part of: 1 ÷ 20 ìêë 300 smoothed;
Time;12:45:48;12:48:45;;12:43:38;;
Wavelength [nm];Intensity;Wavelength [nm];intensity;Wavelength [nm];intensity;
607,500;0,016745;;;557,500;0,13712;
608,000;0,016414;;;558,000;0,13465;
608,500;0,016031;;;558,500;0,13216;
609,000;0,015592;;;559,000;0,12964;
609,500;0,015123;;;559,500;0,12713;
610,000;0,014677;;;560,000;0,12461;
610,500;0,014304;;;560,500;0,12205;
611,000;0,014013;;;561,000;0,11941;
611,500;0,013795;;;561,500;0,11671;
612,000;0,013621;;;562,000;0,11404;
612,500;0,013457;;;562,500;0,1115;
613,000;0,013262;;;563,000;0,10914;
613,500;0,013025;;;563,500;0,10697;
614,000;0,012741;;;564,000;0,10494;
614,500;0,012426;;;564,500;0,10302;
615,000;0,01211;;;565,000;0,10116;
615,500;0,01183;;;565,500;0,099336;
616,000;0,011589;;;566,000;0,09759;
616,500;0,011349;;;566,500;0,095944;
617,000;0,011084;;;567,000;0,094375;
617,500;0,010824;;;567,500;0,092813;
618,000;0,010608;;;568,000;0,091202;
618,500;0,010434;;;568,500;0,089513;
619,000;0,010251;;;569,000;0,087706;
619,500;0,010014;;;569,500;0,085754;
620,000;0,0097393;;;;;
620,500;0,0094765;;;;;
621,000;0,0092535;;;;;
621,500;0,0090705;;;;;
622,000;0,0089109;;;;;
622,500;0,008756;;;;;
623,000;0,0085917;;;;;
623,500;0,0084322;;;;;
624,000;0,0083078;;;;;
624,500;0,0082069;;;;;
625,000;0,0080919;;;;;
625,500;0,007937;;;;;
626,000;0,0077563;;;;;
626,500;0,0075849;;;;;
627,000;0,0074348;;;;;
627,500;0,0072939;;;;;
628,000;0,0071508;;;;;
628,500;0,0069982;;;;;
629,000;0,0068387;;;;;
629,500;0,006672;;;;;
630,000;0,0065078;;;;;
630,500;0,0063552;;;;;
631,000;0,0062238;;;;;
631,500;0,0061205;;;;;
632,000;0,0060337;;;;;
632,500;0,0059328;;;;;
633,000;0,0058107;;;;;
633,500;0,0056911;;;;;
634,000;0,0056066;;;;;
634,500;0,0055432;;;;;
635,000;0,005454;;;;;
635,500;0,0053085;;;;;
636,000;0,0051302;;;;;
636,500;0,0049753;;;;;
637,000;0,0048697;;;;;
637,500;0,0048087;;;;;
638,000;0,0047523;;;;;
638,500;0,0046749;;;;;
639,000;0,0045787;;;;;
639,500;0,0044707;;;;;
640,000;0,0043487;;;;;
640,500;0,0042149;;;;;
641,000;0,0040929;;;;;
641,500;0,0040084;;;;;
642,000;0,0039544;;;;;
642,500;0,0039098;;;;;
643,000;0,0038582;;;;;
643,500;0,0038042;;;;;
644,000;0,0037502;;;;;
644,500;0,0036775;;;;;
645,000;0,0035648;;;;;
645,500;0,0034287;;;;;
646,000;0,0033231;;;;;
646,500;0,0032856;;;;;
647,000;0,003309;;;;;
647,500;0,0033372;;;;;
648,000;0,0033348;;;;;
648,500;0,003309;;;;;
649,000;0,0032715;;;;;
649,500;0,0032339;;;;;
